Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Substation ID_src,Name_source,Region_source,Country_source,Substation ID_dest,Name_dest,Region_dest,Country_dest,Utility_Name,Code
1,2,1,Achimota Substation,2,Tema Substation,11,25.2,215.0,Active,Underground,1,Achimota Substation,Greater Accra,Ghana,2,Tema Substation,Greater Accra,Ghana,Northern Electricity Distribution Company,NED
2,2,1,Achimota Substation,3,Mallam Substation,11,11.0,36.4,Active,Overhead,1,Achimota Substation,Greater Accra,Ghana,3,Mallam Substation,Greater Accra,Ghana,Northern Electricity Distribution Company,NED
3,3,1,Achimota Substation,5,Kaneshie Substation,11,5.9,277.4,Active,Overhead,1,Achimota Substation,Greater Accra,Ghana,5,Kaneshie Substation,Greater Accra,Ghana,Ghana Grid Company,GRD
4,1,2,Tema Substation,3,Mallam Substation,330,34.4,39.0,Active,Underground,2,Tema Substation,Greater Accra,Ghana,3,Mallam Substation,Greater Accra,Ghana,Electricity Company of Ghana,ECG
5,3,2,Tema Substation,4,Legon Substation,161,19.5,186.5,Active,Underground,2,Tema Substation,Greater Accra,Ghana,4,Legon Substation,Greater Accra,Ghana,Ghana Grid Company,GRD
6,2,3,Mallam Substation,4,Legon Substation,161,17.1,220.5,Active,Underground,3,Mallam Substation,Greater Accra,Ghana,4,Legon Substation,Greater Accra,Ghana,Northern Electricity Distribution Company,NED
7,3,3,Mallam Substation,5,Kaneshie Substation,161,7.0,108.5,Active,Overhead,3,Mallam Substation,Greater Accra,Ghana,5,Kaneshie Substation,Greater Accra,Ghana,Ghana Grid Company,GRD
8,3,3,Mallam Substation,6,Aboadze Junction Substation,161,22.4,298.9,Under Maintenance,Overhead,3,Mallam Substation,Greater Accra,Ghana,6,Aboadze Junction Substation,Greater Accra,Ghana,Ghana Grid Company,GRD
9,1,4,Legon Substation,5,Kaneshie Substation,161,13.4,266.6,Active,Underground,4,Legon Substation,Greater Accra,Ghana,5,Kaneshie Substation,Greater Accra,Ghana,Electricity Company of Ghana,ECG
10,2,4,Legon Substation,6,Aboadze Junction Substation,161,8.4,217.0,Active,Overhead,4,Legon Substation,Greater Accra,Ghana,6,Aboadze Junction Substation,Greater Accra,Ghana,Northern Electricity Distribution Company,NED
11,1,7,Kumasi Central Substation,10,Mampong Substation,69,53.3,269.1,Active,Overhead,7,Kumasi Central Substation,Ashanti,Ghana,10,Mampong Substation,Ashanti,Ghana,Electricity Company of Ghana,ECG
12,3,7,Kumasi Central Substation,11,Konongo Substation,69,50.4,116.0,Active,Underground,7,Kumasi Central Substation,Ashanti,Ghana,11,Konongo Substation,Ashanti,Ghana,Ghana Grid Company,GRD
13,2,8,Ejisu Substation,9,Obuasi Substation,33,76.1,256.9,Active,Underground,8,Ejisu Substation,Ashanti,Ghana,9,Obuasi Substation,Ashanti,Ghana,Northern Electricity Distribution Company,NED
14,2,8,Ejisu Substation,11,Konongo Substation,69,37.8,198.4,Active,Underground,8,Ejisu Substation,Ashanti,Ghana,11,Konongo Substation,Ashanti,Ghana,Northern Electricity Distribution Company,NED
15,1,9,Obuasi Substation,11,Konongo Substation,33,71.0,284.6,Active,Overhead,9,Obuasi Substation,Ashanti,Ghana,11,Konongo Substation,Ashanti,Ghana,Electricity Company of Ghana,ECG
16,2,10,Mampong Substation,11,Konongo Substation,69,64.2,61.5,Active,Underground,10,Mampong Substation,Ashanti,Ghana,11,Konongo Substation,Ashanti,Ghana,Northern Electricity Distribution Company,NED
17,1,12,Takoradi Substation,13,Aboadze Substation,33,12.3,78.8,Active,Overhead,12,Takoradi Substation,Western,Ghana,13,Aboadze Substation,Western,Ghana,Electricity Company of Ghana,ECG
